id,order_id,invoice_date,due_date,tax,shipping,amount_due
5,31,3/22/2006 16:08:59,,0,0,0
6,32,3/22/2006 16:10:27,,0,0,0
7,40,3/24/2006 10:41:41,,0,0,0
8,39,3/24/2006 10:55:46,,0,0,0
9,38,3/24/2006 10:56:57,,0,0,0
10,37,3/24/2006 10:57:38,,0,0,0
11,36,3/24/2006 10:58:40,,0,0,0
12,35,3/24/2006 10:59:41,,0,0,0
13,34,3/24/2006 11:00:55,,0,0,0
14,33,3/24/2006 11:02:02,,0,0,0
15,30,3/24/2006 11:03:00,,0,0,0
16,56,4/3/2006 13:50:15,,0,0,0
17,55,4/4/2006 11:05:04,,0,0,0
18,51,4/4/2006 11:06:13,,0,0,0
19,50,4/4/2006 11:06:56,,0,0,0
20,48,4/4/2006 11:07:37,,0,0,0
21,47,4/4/2006 11:08:14,,0,0,0
22,46,4/4/2006 11:08:49,,0,0,0
23,45,4/4/2006 11:09:24,,0,0,0
24,79,4/4/2006 11:35:54,,0,0,0
25,78,4/4/2006 11:36:21,,0,0,0
26,77,4/4/2006 11:36:47,,0,0,0
27,76,4/4/2006 11:37:09,,0,0,0
28,75,4/4/2006 11:37:49,,0,0,0
29,74,4/4/2006 11:38:11,,0,0,0
30,73,4/4/2006 11:38:32,,0,0,0
31,72,4/4/2006 11:38:53,,0,0,0
32,71,4/4/2006 11:39:29,,0,0,0
33,70,4/4/2006 11:39:53,,0,0,0
34,69,4/4/2006 11:40:16,,0,0,0
35,67,4/4/2006 11:40:38,,0,0,0
36,42,4/4/2006 11:41:14,,0,0,0
37,60,4/4/2006 11:41:45,,0,0,0
38,63,4/4/2006 11:42:26,,0,0,0
39,58,4/4/2006 11:43:08,,0,0,0